gold_file;pred_file;pred_id;subjects;em;f1;recall;precision;iteration;tokens_in;tokens_out;elapsed_time;model;sparql_parsing_error;sparql_not_found;state_success;state_fail;state_init;state_unknown
large-customers-of-tsmc.json;large-customers-of-tsmc-llama-v3p3-70b-instruct-state-fail-6-67d46dca.json;67d46dca;three triple patterns, supply;0;0;0,0;0;6;27236;987;21925;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
operationg-income-of-very-large-companies.json;operationg-income-of-very-large-companies-llama-v3p3-70b-instruct-state-fail-6-67d46d50.json;67d46d50;three triple patterns, keyfigure;0;0;0,0;0;6;24246;967;11820;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
customers-of-tsmc-that-offer-design-services.json;customers-of-tsmc-that-offer-design-services-llama-v3p3-70b-instruct-state-fail-10-67d46d2c.json;67d46d2c;three triple patterns, supply;0;0;0,0;0;10;62975;1594;31048;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
net-profit-of-companies-with-assembly-test-sites.json;net-profit-of-companies-with-assembly-test-sites-llama-v3p3-70b-instruct-state-fail-7-67d46c92.json;67d46c92;four triple patterns, keyfigure;0;0;0,0;0;7;21589;987;17340;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
country-where-tsmc-has-its-headquarter.json;country-where-tsmc-has-its-headquarter-llama-v3p3-70b-instruct-state-success-7-67d46bab.json;67d46bab;three triple patterns, geo;1;1,0;1,0;1,0;7;45476;1526;16763;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
ceo-of-intel.json;ceo-of-intel-llama-v3p3-70b-instruct-state-success-6-67d46b5c.json;67d46b5c;three triple patterns, member;0;0;0,0;0,0;6;67841;855;16726;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
employee-count-of-companies-with-assembly-test-sites.json;employee-count-of-companies-with-assembly-test-sites-llama-v3p3-70b-instruct-state-fail-5-67d46c2a.json;67d46c2a;four triple patterns, keyfigure;0;0;0,0;0;5;13630;839;15205;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
types-of-companies.json;types-of-companies-llama-v3p3-70b-instruct-state-success-6-67d46acb.json;67d46acb;one triple pattern;1;1,0;1,0;1,0;6;46420;844;14979;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
people-with-publications.json;people-with-publications-llama-v3p3-70b-instruct-state-success-4-67d46e7f.json;67d46e7f;two triple patterns;1;1,0;1,0;1,0;4;8646;368;8553;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
ceos-of-companies-that-offer-foundry-services.json;ceos-of-companies-that-offer-foundry-services-llama-v3p3-70b-instruct-state-fail-7-67d46ccb.json;67d46ccb;four triple patterns, member;0;0;0,0;0;7;34347;929;21577;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
