commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 66
success_em: 0.25757575757575757
success_f1: 0.29762949730259797
success_recall: 0.35433681737157674
success_precision: 0.3155529876622753
overall_em: 0.2463768115942029
overall_f1: 0.28468908437639806
overall_recall: 0.33893086879020384
overall_precision: 0.3018332925465242
unparsable_sparql_queries: 2
unavailable_sparql_queries: 1
state_success: 43
state_fail: 25
state_init: 0
state_error_api: 0
state_unknown: 1
avg_tokens_in: 49770.318181818184
avg_tokens_out: 930.2727272727273
avg_elapsed_time: 67714.5
avg_iteration: 6.121212121212121
success_only_em: 0.40476190476190477
success_only_f1: 0.4677034957612254
success_only_recall: 0.5568149987267634
success_only_precision: 0.4958689806121469
success_count: 42
failure_only_em: 0.0
failure_only_f1: 0.0
failure_only_recall: 0.0
failure_only_precision: 0.0
failure_count: 24
success_rate: 0.6231884057971014
failure_rate: 0.36231884057971014
