commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 68
success_em: 0.36764705882352944
success_f1: 0.40756720202061336
success_recall: 0.42462275232673713
success_precision: 0.4120540019286403
overall_em: 0.36231884057971014
overall_f1: 0.40166043097683635
overall_recall: 0.4184687993944656
overall_precision: 0.40608220479923973
unparsable_sparql_queries: 0
unavailable_sparql_queries: 1
state_success: 46
state_fail: 23
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 61841.76470588235
avg_tokens_out: 882.8970588235294
avg_elapsed_time: 70349.48529411765
avg_iteration: 5.882352941176471
success_only_em: 0.5555555555555556
success_only_f1: 0.6158793274978157
success_only_recall: 0.6416521590715139
success_only_precision: 0.6226593806921675
success_count: 45
failure_only_em: 0.0
failure_only_f1: 0.0
failure_only_recall: 0.0
failure_only_precision: 0.0
failure_count: 23
success_rate: 0.6666666666666666
failure_rate: 0.3333333333333333
