commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 68
success_em: 0.2647058823529412
success_f1: 0.29531871619230643
success_recall: 0.32640915316158087
success_precision: 0.3162862959391407
overall_em: 0.2608695652173913
overall_f1: 0.291038734798215
overall_recall: 0.3216785857244565
overall_precision: 0.31170243657770386
unparsable_sparql_queries: 0
unavailable_sparql_queries: 1
state_success: 50
state_fail: 19
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 49268.220588235294
avg_tokens_out: 858.1911764705883
avg_elapsed_time: 61786.41176470588
avg_iteration: 5.6911764705882355
success_only_em: 0.3673469387755102
success_only_f1: 0.40943249350196564
success_only_recall: 0.4325678043875
success_only_precision: 0.4387271848630162
success_count: 49
failure_only_em: 0.0
failure_only_f1: 0.0010252904989747095
failure_only_recall: 0.05263157894736842
failure_only_precision: 0.0005176876617773944
failure_count: 19
success_rate: 0.7246376811594203
failure_rate: 0.2753623188405797
