gold_file;pred_file;pred_id;subjects;em;f1;recall;precision;iteration;tokens_in;tokens_out;elapsed_time;model;sparql_parsing_error;sparql_not_found;state_success;state_fail;state_init;state_unknown
large-customers-of-tsmc.json;large-customers-of-tsmc-llama-3-3-70b-instruct-state-success-11-67d3396b.json;67d3396b;three triple patterns, supply;0;0;0,0;0;11;179222;1898;149145;llama-3.3-70b-instruct;False;False;1;0;0;0
operationg-income-of-very-large-companies.json;operationg-income-of-very-large-companies-llama-3-3-70b-instruct-state-fail-5-67d333ff.json;67d333ff;three triple patterns, keyfigure;0;0;0,0;0;5;18173;632;39208;llama-3.3-70b-instruct;False;False;0;1;0;0
customers-of-tsmc-that-offer-design-services.json;customers-of-tsmc-that-offer-design-services-llama-3-3-70b-instruct-state-fail-10-67d33bc5.json;67d33bc5;three triple patterns, supply;0;0;0,0;0;10;65819;1508;91329;llama-3.3-70b-instruct;False;False;0;1;0;0
net-profit-of-companies-with-assembly-test-sites.json;net-profit-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-fail-3-67d33a4c.json;67d33a4c;four triple patterns, keyfigure;0;0;0,0;0;3;5019;382;25531;llama-3.3-70b-instruct;False;False;0;1;0;0
country-where-tsmc-has-its-headquarter.json;country-where-tsmc-has-its-headquarter-llama-3-3-70b-instruct-state-success-6-67d3435c.json;67d3435c;three triple patterns, geo;0;0;0,0;0;6;25667;728;54433;llama-3.3-70b-instruct;False;False;1;0;0;0
ceo-of-intel.json;ceo-of-intel-llama-3-3-70b-instruct-state-success-4-67d34397.json;67d34397;three triple patterns, member;0;0;0,0;0,0;4;32461;435;30525;llama-3.3-70b-instruct;False;False;1;0;0;0
employee-count-of-companies-with-assembly-test-sites.json;employee-count-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-fail-7-67d343b7.json;67d343b7;four triple patterns, keyfigure;0;0;0,0;0;7;18482;1076;67248;llama-3.3-70b-instruct;False;False;0;1;0;0
types-of-companies.json;types-of-companies-llama-3-3-70b-instruct-state-success-4-67d343fd.json;67d343fd;one triple pattern;0;0;0,0;0,0;4;6612;537;29111;llama-3.3-70b-instruct;False;False;1;0;0;0
people-with-publications.json;people-with-publications-llama-3-3-70b-instruct-state-success-7-67d3346a.json;67d3346a;two triple patterns;0;0,025316455696202535;0,029411764705882353;0,022222222222222223;7;156985;3215;240062;llama-3.3-70b-instruct;False;False;1;0;0;0
ceos-of-companies-that-offer-foundry-services.json;ceos-of-companies-that-offer-foundry-services-llama-3-3-70b-instruct-state-success-7-67d33cfc.json;67d33cfc;four triple patterns, member;0;0,13333333333333333;0,07142857142857142;1,0;7;139405;939;76254;llama-3.3-70b-instruct;False;False;1;0;0;0
