commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 69
success_em: 0.34782608695652173
success_f1: 0.40391150395907227
success_recall: 0.4736792893875643
success_precision: 0.397150702009182
overall_em: 0.34782608695652173
overall_f1: 0.40391150395907227
overall_recall: 0.4736792893875643
overall_precision: 0.397150702009182
unparsable_sparql_queries: 0
unavailable_sparql_queries: 0
state_success: 46
state_fail: 23
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 52019.666666666664
avg_tokens_out: 827.768115942029
avg_elapsed_time: 80099.52173913043
avg_iteration: 5.565217391304348
success_only_em: 0.5217391304347826
success_only_f1: 0.6058672559386085
success_only_recall: 0.7105189340813465
success_only_precision: 0.595726053013773
success_count: 46
failure_only_em: 0.0
failure_only_f1: 0.0
failure_only_recall: 0.0
failure_only_precision: 0.0
failure_count: 23
success_rate: 0.6666666666666666
failure_rate: 0.3333333333333333
