commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 69
success_em: 0.30434782608695654
success_f1: 0.34417725142664285
success_recall: 0.39698171684878186
success_precision: 0.3532790025325077
overall_em: 0.30434782608695654
overall_f1: 0.34417725142664285
overall_recall: 0.39698171684878186
overall_precision: 0.3532790025325077
unparsable_sparql_queries: 0
unavailable_sparql_queries: 0
state_success: 46
state_fail: 23
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 55039.565217391304
avg_tokens_out: 906.5072463768116
avg_elapsed_time: 82727.47826086957
avg_iteration: 6.043478260869565
success_only_em: 0.45652173913043476
success_only_f1: 0.5019498644146196
success_only_recall: 0.5737334448383902
success_only_precision: 0.5192465670398684
success_count: 46
failure_only_em: 0.0
failure_only_f1: 0.028632025450689286
failure_only_recall: 0.043478260869565216
failure_only_precision: 0.02134387351778656
failure_count: 23
success_rate: 0.6666666666666666
failure_rate: 0.3333333333333333
