commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 68
success_em: 0.3235294117647059
success_f1: 0.3442845216553839
success_recall: 0.3719548425430778
success_precision: 0.3506668305380654
overall_em: 0.3188405797101449
overall_f1: 0.3392948909067552
overall_recall: 0.36656419265114915
overall_precision: 0.3455847025592529
unparsable_sparql_queries: 0
unavailable_sparql_queries: 1
state_success: 45
state_fail: 24
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 48380.42647058824
avg_tokens_out: 860.4117647058823
avg_elapsed_time: 58413.470588235294
avg_iteration: 5.838235294117647
success_only_em: 0.5
success_only_f1: 0.519089065934944
success_only_recall: 0.5521120293847566
success_only_precision: 0.5328487381042829
success_count: 44
failure_only_em: 0.0
failure_only_f1: 0.02380952380952381
failure_only_recall: 0.041666666666666664
failure_only_precision: 0.016666666666666666
failure_count: 24
success_rate: 0.6521739130434783
failure_rate: 0.34782608695652173
