commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 68
success_em: 0.27941176470588236
success_f1: 0.34312313914538206
success_recall: 0.43156963089991324
success_precision: 0.34489823412691223
overall_em: 0.2753623188405797
overall_f1: 0.338150340027333
overall_recall: 0.42531499856803046
overall_precision: 0.3398997089946381
unparsable_sparql_queries: 1
unavailable_sparql_queries: 0
state_success: 51
state_fail: 18
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 44013.92647058824
avg_tokens_out: 845.8088235294117
avg_elapsed_time: 58874.39705882353
avg_iteration: 5.6911764705882355
success_only_em: 0.37254901960784315
success_only_f1: 0.4574975188605094
success_only_recall: 0.5754261745332176
success_only_precision: 0.4598643121692163
success_count: 51
failure_only_em: 0.0
failure_only_f1: 0.0
failure_only_recall: 0.0
failure_only_precision: 0.0
failure_count: 17
success_rate: 0.7391304347826086
failure_rate: 0.2608695652173913
