gold_file;pred_file;pred_id;subjects;em;f1;recall;precision;iteration;tokens_in;tokens_out;elapsed_time;model;sparql_parsing_error;sparql_not_found;state_success;state_fail;state_init;state_unknown
large-customers-of-tsmc.json;large-customers-of-tsmc-llama-3-3-70b-instruct-state-success-6-67d32dc3.json;67d32dc3;three triple patterns, supply;0;0;0,0;0;6;29285;1791;148682;llama-3.3-70b-instruct;False;False;1;0;0;0
operationg-income-of-very-large-companies.json;operationg-income-of-very-large-companies-llama-3-3-70b-instruct-state-fail-5-67d332f6.json;67d332f6;three triple patterns, keyfigure;0;0;0,0;0;5;9343;670;39469;llama-3.3-70b-instruct;False;False;0;1;0;0
customers-of-tsmc-that-offer-design-services.json;customers-of-tsmc-that-offer-design-services-llama-3-3-70b-instruct-state-fail-10-67d33828.json;67d33828;three triple patterns, supply;0;0;0,0;0;10;61308;1822;130618;llama-3.3-70b-instruct;False;False;0;1;0;0
net-profit-of-companies-with-assembly-test-sites.json;net-profit-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-fail-7-67d33a44.json;67d33a44;four triple patterns, keyfigure;0;0;0,0;0;7;21007;1337;88036;llama-3.3-70b-instruct;False;False;0;1;0;0
country-where-tsmc-has-its-headquarter.json;country-where-tsmc-has-its-headquarter-llama-3-3-70b-instruct-state-fail-6-67d33a07.json;67d33a07;three triple patterns, geo;0;0;0,0;0;6;32664;717;49945;llama-3.3-70b-instruct;False;False;0;1;0;0
ceo-of-intel.json;ceo-of-intel-llama-3-3-70b-instruct-state-success-9-67d333af.json;67d333af;three triple patterns, member;0;0;0,0;0;9;117070;1660;125186;llama-3.3-70b-instruct;False;False;1;0;0;0
employee-count-of-companies-with-assembly-test-sites.json;employee-count-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-fail-6-67d3393e.json;67d3393e;four triple patterns, keyfigure;0;0;0,0;0;6;14933;917;59095;llama-3.3-70b-instruct;False;False;0;1;0;0
types-of-companies.json;types-of-companies-llama-3-3-70b-instruct-state-success-4-67d331f0.json;67d331f0;one triple pattern;1;1,0;1,0;1,0;4;6670;510;27817;llama-3.3-70b-instruct;False;False;1;0;0;0
people-with-publications.json;people-with-publications-llama-3-3-70b-instruct-state-success-6-67d33c47.json;67d33c47;two triple patterns;1;1,0;1,0;1,0;6;11605;635;36199;llama-3.3-70b-instruct;False;False;1;0;0;0
ceos-of-companies-that-offer-foundry-services.json;ceos-of-companies-that-offer-foundry-services-llama-3-3-70b-instruct-state-success-4-67d32d3a.json;67d32d3a;four triple patterns, member;1;1,0;1,0;1,0;4;17207;369;28498;llama-3.3-70b-instruct;False;False;1;0;0;0
