commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 67
success_em: 0.26865671641791045
success_f1: 0.33991380880085104
success_recall: 0.4338319173517306
success_precision: 0.34626767423879157
overall_em: 0.2608695652173913
overall_f1: 0.3300612346327104
overall_recall: 0.42125707916762245
overall_precision: 0.33623093005795707
unparsable_sparql_queries: 1
unavailable_sparql_queries: 1
state_success: 43
state_fail: 26
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 49630.80597014925
avg_tokens_out: 847.955223880597
avg_elapsed_time: 86684.86567164179
avg_iteration: 5.6716417910447765
success_only_em: 0.43902439024390244
success_only_f1: 0.5479924205352342
success_only_recall: 0.660164352745511
success_only_precision: 0.5614679243229062
success_count: 41
failure_only_em: 0.0
failure_only_f1: 0.011789844142785317
failure_only_recall: 0.07692307692307693
failure_only_precision: 0.006913433721534011
failure_count: 26
success_rate: 0.6231884057971014
failure_rate: 0.37681159420289856
