commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 69
success_em: 0.3188405797101449
success_f1: 0.3939329537304023
success_recall: 0.42404592973234173
success_precision: 0.4087015945497855
overall_em: 0.3188405797101449
overall_f1: 0.3939329537304023
overall_recall: 0.42404592973234173
overall_precision: 0.4087015945497855
unparsable_sparql_queries: 0
unavailable_sparql_queries: 0
state_success: 45
state_fail: 24
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 50721.68115942029
avg_tokens_out: 850.0289855072464
avg_elapsed_time: 65949.02898550725
avg_iteration: 5.7101449275362315
success_only_em: 0.4888888888888889
success_only_f1: 0.6032368782596328
success_only_recall: 0.6279815367007018
success_only_precision: 0.6262717379056306
success_count: 45
failure_only_em: 0.0
failure_only_f1: 0.0014880952380952382
failure_only_recall: 0.041666666666666664
failure_only_precision: 0.0007575757575757576
failure_count: 24
success_rate: 0.6521739130434783
failure_rate: 0.34782608695652173
