commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: accounts/fireworks/models/llama-v3p3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 67
success_em: 0.31343283582089554
success_f1: 0.37921809366692205
success_recall: 0.4330710593446171
success_precision: 0.372625113719196
overall_em: 0.30434782608695654
overall_f1: 0.3682262648649823
overall_recall: 0.42051827501578765
overall_precision: 0.3618243857853063
unparsable_sparql_queries: 1
unavailable_sparql_queries: 1
state_success: 47
state_fail: 22
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 62599.05970149254
avg_tokens_out: 978.5820895522388
avg_elapsed_time: 22028.582089552237
avg_iteration: 6.134328358208955
success_only_em: 0.45652173913043476
success_only_f1: 0.5473704531980945
success_only_recall: 0.6224958390247166
success_only_precision: 0.5391873328926887
success_count: 46
failure_only_em: 0.0
failure_only_f1: 0.010884353741496598
failure_only_recall: 0.018140589569160998
failure_only_precision: 0.007774538386783284
failure_count: 21
success_rate: 0.6811594202898551
failure_rate: 0.3188405797101449
