commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 67
success_em: 0.23880597014925373
success_f1: 0.31584059295699946
success_recall: 0.37017504642685195
success_precision: 0.3281671518805317
overall_em: 0.2318840579710145
overall_f1: 0.3066857931611444
overall_recall: 0.35944533493621855
overall_precision: 0.3186550605216757
unparsable_sparql_queries: 1
unavailable_sparql_queries: 1
state_success: 44
state_fail: 25
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 51666.522388059704
avg_tokens_out: 908.6865671641791
avg_elapsed_time: 83571.02985074627
avg_iteration: 5.850746268656716
success_only_em: 0.38095238095238093
success_only_f1: 0.5038409459075944
success_only_recall: 0.5905173359666447
success_only_precision: 0.5235047422856101
success_count: 42
failure_only_em: 0.0
failure_only_f1: 0.0
failure_only_recall: 0.0
failure_only_precision: 0.0
failure_count: 25
success_rate: 0.6376811594202898
failure_rate: 0.36231884057971014
