gold_file;pred_file;pred_id;subjects;em;f1;recall;precision;iteration;tokens_in;tokens_out;elapsed_time;model;sparql_parsing_error;sparql_not_found;state_success;state_fail;state_init;state_unknown
large-customers-of-tsmc.json;large-customers-of-tsmc-llama-3-3-70b-instruct-state-fail-7-67d2776c.json;67d2776c;three triple patterns, supply;0;0;0,0;0;7;39512;947;61118;llama-3.3-70b-instruct;False;False;0;1;0;0
operationg-income-of-very-large-companies.json;operationg-income-of-very-large-companies-llama-3-3-70b-instruct-state-fail-6-67d278eb.json;67d278eb;three triple patterns, keyfigure;0;0;0,0;0;6;23547;835;53460;llama-3.3-70b-instruct;False;False;0;1;0;0
customers-of-tsmc-that-offer-design-services.json;customers-of-tsmc-that-offer-design-services-llama-3-3-70b-instruct-state-success-10-67d26e80.json;67d26e80;three triple patterns, supply;0;0;0,0;0;10;84784;1278;79315;llama-3.3-70b-instruct;False;False;1;0;0;0
net-profit-of-companies-with-assembly-test-sites.json;net-profit-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-success-8-67d277b2.json;67d277b2;four triple patterns, keyfigure;0;0;0,0;0,0;8;64087;1250;85503;llama-3.3-70b-instruct;False;False;1;0;0;0
country-where-tsmc-has-its-headquarter.json;country-where-tsmc-has-its-headquarter-llama-3-3-70b-instruct-state-success-7-67d27427.json;67d27427;three triple patterns, geo;1;1,0;1,0;1,0;7;70505;547;39194;llama-3.3-70b-instruct;False;False;1;0;0;0
ceo-of-intel.json;ceo-of-intel-llama-3-3-70b-instruct-state-success-4-67d2708e.json;67d2708e;three triple patterns, member;1;1,0;1,0;1,0;4;77265;371;34997;llama-3.3-70b-instruct;False;False;1;0;0;0
employee-count-of-companies-with-assembly-test-sites.json;employee-count-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-fail-8-67d268f6.json;67d268f6;four triple patterns, keyfigure;0;0;0,0;0;8;62901;1152;79095;llama-3.3-70b-instruct;False;False;0;1;0;0
types-of-companies.json;types-of-companies-llama-3-3-70b-instruct-state-success-4-67d26d19.json;67d26d19;one triple pattern;0;0,026200873362445417;1,0;0,01327433628318584;4;9966;526;32706;llama-3.3-70b-instruct;False;False;1;0;0;0
people-with-publications.json;people-with-publications-llama-3-3-70b-instruct-state-success-4-67d276fb.json;67d276fb;two triple patterns;1;1,0;1,0;1,0;4;8542;381;26994;llama-3.3-70b-instruct;False;False;1;0;0;0
ceos-of-companies-that-offer-foundry-services.json;ceos-of-companies-that-offer-foundry-services-llama-3-3-70b-instruct-state-success-7-67d27114.json;67d27114;four triple patterns, member;0;0,0689655172413793;0,03571428571428571;1,0;7;142754;919;73026;llama-3.3-70b-instruct;False;False;1;0;0;0
total-assets-of-fabless-companies.json;total-assets-of-fabless-companies-llama-3-3-70b-instruct-state-success-7-67d2733e.json;67d2733e;three triple patterns, keyfigure;0;0;0,0;0,0;7;55590;1019;60720;llama-3.3-70b-instruct;False;False;1;0;0;0
capex-of-companies-offering-foundry-services.json;capex-of-companies-offering-foundry-services-llama-3-3-70b-instruct-state-success-5-67d270b6.json;67d270b6;three triple patterns, keyfigure;0;0;0,0;0,0;5;39362;814;48460;llama-3.3-70b-instruct;False;False;1;0;0;0
medium-size-companies-with-sites-in-nuremberg.json;medium-size-companies-with-sites-in-nuremberg-llama-3-3-70b-instruct-state-success-5-67d27980.json;67d27980;three triple patterns, geo;1;1,0;1,0;1,0;5;21802;769;49122;llama-3.3-70b-instruct;False;False;1;0;0;0
companies-offering-design-services.json;companies-offering-design-services-llama-3-3-70b-instruct-state-success-4-67d27838.json;67d27838;one triple pattern;0;0,47058823529411764;0,39215686274509803;0,5882352941176471;4;15178;605;34846;llama-3.3-70b-instruct;False;False;1;0;0;0
