commit_id: bd93e3ca1a9ff181f4bb4f52d93dcfe368105cfc
git_label: v0.2.9
model: llama-3.3-70b-instruct
knowledge_graph_files: /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/abox-en.ttl.gz /home/dorschre/01_Projects/test/natural-language-query-answering/knowledge-graph/velektronik-graph-clean/tbox.ttl
dataset_size: 69
evaluation_size: 68
success_em: 0.3088235294117647
success_f1: 0.3741690276997243
success_recall: 0.41496773440559015
success_precision: 0.3813397422432441
overall_em: 0.30434782608695654
overall_f1: 0.36874628816784427
overall_recall: 0.40895370926927727
overall_precision: 0.37581307931218255
unparsable_sparql_queries: 1
unavailable_sparql_queries: 0
state_success: 47
state_fail: 22
state_init: 0
state_error_api: 0
state_unknown: 0
avg_tokens_in: 51285.0
avg_tokens_out: 894.6617647058823
avg_elapsed_time: 64890.632352941175
avg_iteration: 5.779411764705882
success_only_em: 0.44680851063829785
success_only_f1: 0.5413509336932182
success_only_recall: 0.6003788497783007
success_only_precision: 0.5517255845221404
success_count: 47
failure_only_em: 0.0
failure_only_f1: 0.0
failure_only_recall: 0.0
failure_only_precision: 0.0
failure_count: 21
success_rate: 0.6811594202898551
failure_rate: 0.3188405797101449
